city_name,apparent_temperature_max,apparent_temperature_min
Copenhagen,0.7,-2.9
Copenhagen,-2.7,-4.9
Copenhagen,2.4,-2.6
Copenhagen,-1.0,-3.8
Copenhagen,1.3,-4.4
Copenhagen,3.1,0.6
Copenhagen,3.3,-1.3
Copenhagen,4.4,-0.5
Copenhagen,6.3,-0.7
Copenhagen,5.4,0.7
Copenhagen,1.0,-2.0
Copenhagen,1.8,-0.9
Copenhagen,1.7,-0.4
Copenhagen,2.8,-2.3
Copenhagen,4.8,0.3
Copenhagen,3.2,0.0
Copenhagen,2.6,0.4
Copenhagen,2.9,-1.3
Copenhagen,2.4,-2.7
Copenhagen,1.4,-2.6
Copenhagen,2.5,-0.6
Copenhagen,3.2,-2.4
Copenhagen,1.2,-3.1
Copenhagen,2.4,1.1
Copenhagen,3.7,0.2
Copenhagen,0.2,-2.4
Copenhagen,1.6,-1.6
Copenhagen,1.9,-1.3
Copenhagen,-0.1,-2.6
Copenhagen,3.3,-3.5
Copenhagen,3.6,0.3
Copenhagen,4.4,0.4
Copenhagen,0.8,-2.7
Copenhagen,2.1,-1.8
Copenhagen,-0.5,-4.4
Copenhagen,0.4,-4.8
Copenhagen,3.5,-1.5
Copenhagen,1.4,-2.5
Copenhagen,1.5,-0.5
Copenhagen,2.4,-2.2
Copenhagen,1.2,-3.4
Copenhagen,-1.2,-3.9
Copenhagen,-1.8,-3.6
Copenhagen,1.0,-3.4
Copenhagen,3.8,-2.0
Copenhagen,2.4,-1.7
Copenhagen,5.8,-0.6
Copenhagen,0.2,-3.1
Copenhagen,0.2,-1.8
Copenhagen,1.0,-2.1
Copenhagen,0.0,-2.5
Copenhagen,1.4,-2.5
Copenhagen,0.1,-2.7
Copenhagen,-0.2,-2.9
Copenhagen,2.2,-4.0
Copenhagen,-0.2,-5.1
Copenhagen,-1.3,-4.9
Copenhagen,-0.2,-4.9
Copenhagen,0.8,-3.8
Copenhagen,1.4,-3.9
Copenhagen,0.3,-2.3
Copenhagen,3.0,-0.7
Copenhagen,2.8,-1.6
Copenhagen,2.1,-1.4
Copenhagen,1.3,-2.1
Copenhagen,0.5,-2.7
Copenhagen,3.2,-2.0
Copenhagen,3.3,-1.2
Copenhagen,6.5,0.0
Copenhagen,3.2,-1.8
Copenhagen,2.5,-1.2
Copenhagen,1.4,-3.9
Copenhagen,0.3,-4.7
Copenhagen,1.0,-5.1
Copenhagen,2.9,-3.1
Copenhagen,6.0,2.1
Copenhagen,3.6,-0.5
Copenhagen,5.1,1.6
Copenhagen,4.4,-0.8
Copenhagen,4.3,-3.8
Copenhagen,1.1,-4.7
Copenhagen,-0.8,-5.4
Copenhagen,-2.0,-4.0
Copenhagen,-0.8,-3.0
Copenhagen,-0.5,-2.2
Copenhagen,3.0,-1.9
Copenhagen,6.7,-1.9
Copenhagen,7.3,-2.2
Copenhagen,-0.9,-6.7
Copenhagen,1.3,-5.2
Copenhagen,1.1,-6.2
Copenhagen,2.8,-0.9
Copenhagen,1.9,-3.8
Copenhagen,-1.2,-3.8
Copenhagen,4.3,-3.0
Copenhagen,5.3,-1.5
Copenhagen,6.2,1.3
Copenhagen,9.1,2.0
Copenhagen,6.8,0.1
Copenhagen,5.4,0.3
Copenhagen,6.2,-0.7
Copenhagen,5.2,-0.4
Copenhagen,11.8,0.8
Copenhagen,0.3,-2.2
Copenhagen,2.5,-2.7
Copenhagen,7.6,-0.5
Copenhagen,6.4,0.0
Copenhagen,8.9,0.0
Copenhagen,7.0,-2.1
Copenhagen,8.9,-0.6
Copenhagen,11.5,-0.2
Copenhagen,12.0,2.3
Copenhagen,13.0,2.7
Copenhagen,16.4,3.8
Copenhagen,11.7,3.0
Copenhagen,8.6,1.9
Copenhagen,9.0,2.0
Copenhagen,8.2,3.3
Copenhagen,8.4,4.0
Copenhagen,4.1,-1.5
Copenhagen,8.3,-1.2
Copenhagen,7.8,3.6
Copenhagen,8.8,3.8
Copenhagen,9.5,3.0
Copenhagen,7.9,1.9
Copenhagen,6.0,0.9
Copenhagen,6.8,1.7
Copenhagen,11.5,3.2
Copenhagen,12.7,2.8
Copenhagen,15.5,4.9
Copenhagen,16.0,3.1
Copenhagen,2.9,-1.4
Copenhagen,4.9,-0.7
Copenhagen,5.9,-0.3
Copenhagen,5.9,-1.1
Copenhagen,7.3,0.5
Copenhagen,5.2,2.0
Copenhagen,8.4,2.4
Copenhagen,10.7,5.3
Copenhagen,9.1,4.1
Copenhagen,12.4,3.6
Copenhagen,12.6,5.1
Copenhagen,9.8,5.7
Copenhagen,14.4,6.2
Copenhagen,9.2,6.4
Copenhagen,13.3,6.7
Copenhagen,13.3,6.1
Copenhagen,13.6,6.9
Copenhagen,15.9,6.2
Copenhagen,16.1,4.8
Copenhagen,17.3,6.9
Copenhagen,19.1,7.5
Copenhagen,18.9,8.6
Copenhagen,20.9,10.1
Copenhagen,14.7,7.9
Copenhagen,13.3,6.3
Copenhagen,11.7,6.3
Copenhagen,9.2,4.3
Copenhagen,14.0,8.4
Copenhagen,15.7,8.5
Copenhagen,16.9,7.3
Copenhagen,18.9,9.4
Copenhagen,20.4,11.0
Copenhagen,17.2,12.9
Copenhagen,18.1,11.5
Copenhagen,17.7,10.9
Copenhagen,19.8,10.8
Copenhagen,23.9,11.6
Copenhagen,19.4,14.1
Copenhagen,21.8,13.9
Copenhagen,21.8,16.3
Copenhagen,20.9,16.1
Copenhagen,19.4,14.6
Copenhagen,17.8,12.9
Copenhagen,20.6,12.2
Copenhagen,25.6,13.8
Copenhagen,26.5,13.3
Copenhagen,26.3,18.1
Copenhagen,24.8,18.6
Copenhagen,23.3,15.0
Copenhagen,17.9,13.8
Copenhagen,12.6,10.3
Copenhagen,17.6,10.6
Copenhagen,18.7,13.1
Copenhagen,15.5,10.6
Copenhagen,15.4,11.8
Copenhagen,16.3,10.2
Copenhagen,12.3,7.4
Copenhagen,12.3,6.7
Copenhagen,11.8,6.9
Copenhagen,13.3,8.4
Copenhagen,14.2,8.1
Copenhagen,12.7,7.5
Copenhagen,12.7,8.2
Copenhagen,15.4,9.4
Copenhagen,18.0,11.3
Copenhagen,16.6,12.5
Copenhagen,16.0,11.9
Copenhagen,20.8,12.6
Copenhagen,20.8,13.3
Copenhagen,23.0,16.7
Copenhagen,17.4,10.7
Copenhagen,13.5,9.4
Copenhagen,14.7,9.0
Copenhagen,16.5,9.9
Copenhagen,18.2,12.2
Copenhagen,16.7,10.7
Copenhagen,18.5,13.8
Copenhagen,17.7,13.2
Copenhagen,19.8,11.2
Copenhagen,12.8,9.3
Copenhagen,13.5,9.0
Copenhagen,20.3,11.1
Copenhagen,19.2,11.9
Copenhagen,20.2,15.7
Copenhagen,17.1,12.0
Copenhagen,16.3,10.5
Copenhagen,19.0,11.2
Copenhagen,21.8,15.3
Copenhagen,25.1,17.8
Copenhagen,28.8,17.3
Copenhagen,30.1,17.6
Copenhagen,27.2,18.2
Copenhagen,23.8,16.9
Copenhagen,22.3,15.9
Copenhagen,24.7,15.3
Copenhagen,25.0,14.5
Copenhagen,27.0,16.0
Copenhagen,25.7,16.3
Copenhagen,25.0,19.6
Copenhagen,25.1,19.3
Copenhagen,23.2,19.2
Copenhagen,22.1,20.1
Copenhagen,23.8,18.8
Copenhagen,21.6,15.7
Copenhagen,16.8,14.1
Copenhagen,17.1,12.3
Copenhagen,15.0,10.4
Copenhagen,19.0,13.4
Copenhagen,16.4,14.2
Copenhagen,16.0,12.0
Copenhagen,19.3,14.2
Copenhagen,19.6,10.3
Copenhagen,14.5,11.0
Copenhagen,16.8,9.9
Copenhagen,15.7,10.6
Copenhagen,17.3,12.0
Copenhagen,16.2,12.5
Copenhagen,14.3,10.0
Copenhagen,13.6,8.8
Copenhagen,13.5,8.1
Copenhagen,16.6,12.3
Copenhagen,17.1,9.6
Copenhagen,12.3,8.1
Copenhagen,13.5,9.0
Copenhagen,13.9,10.6
Copenhagen,16.6,10.2
Copenhagen,21.8,12.8
Copenhagen,22.5,13.8
Copenhagen,19.4,8.6
Copenhagen,11.1,6.2
Copenhagen,13.9,4.4
Copenhagen,18.4,8.0
Copenhagen,16.2,10.9
Copenhagen,16.2,11.2
Copenhagen,17.9,7.6
Copenhagen,18.9,10.5
Copenhagen,15.4,11.3
Copenhagen,14.5,9.5
Copenhagen,14.8,9.6
Copenhagen,19.2,14.2
Copenhagen,15.2,11.1
Copenhagen,14.5,12.3
Copenhagen,14.9,11.5
Copenhagen,13.4,10.3
Copenhagen,13.0,10.9
Copenhagen,13.9,10.7
Copenhagen,16.1,10.8
Copenhagen,14.3,10.5
Copenhagen,11.5,9.3
Copenhagen,11.9,9.1
Copenhagen,11.5,7.2
Copenhagen,10.2,6.2
Copenhagen,9.4,5.4
Copenhagen,8.6,4.4
Copenhagen,10.7,2.9
Copenhagen,10.0,3.6
Copenhagen,3.9,0.5
Copenhagen,4.5,0.9
Copenhagen,8.1,3.3
Copenhagen,7.7,3.5
Copenhagen,5.6,2.5
Copenhagen,6.3,1.3
Copenhagen,8.7,5.0
Copenhagen,11.4,8.4
Copenhagen,10.8,7.9
Copenhagen,9.8,6.7
Copenhagen,9.6,7.7
Copenhagen,10.0,8.4
Copenhagen,9.6,6.6
Copenhagen,6.2,5.0
Copenhagen,8.3,4.3
Copenhagen,7.4,4.8
Copenhagen,9.1,5.0
Copenhagen,12.3,8.7
Copenhagen,9.6,7.6
Copenhagen,13.0,6.9
Copenhagen,8.8,3.9
Copenhagen,6.4,2.0
Copenhagen,8.6,3.4
Copenhagen,11.3,6.7
Copenhagen,9.3,4.4
Copenhagen,9.3,3.0
Copenhagen,7.3,5.1
Copenhagen,5.8,3.9
Copenhagen,3.8,3.0
Copenhagen,6.6,2.5
Copenhagen,8.2,4.6
Copenhagen,8.6,6.3
Copenhagen,8.2,6.3
Copenhagen,7.0,4.6
Copenhagen,8.4,5.1
Copenhagen,8.5,4.5
Copenhagen,6.6,-2.7
Copenhagen,1.7,-2.1
Copenhagen,6.2,-1.1
Copenhagen,5.5,1.6
Copenhagen,3.1,1.5
Copenhagen,5.2,2.0
Copenhagen,4.6,1.4
Copenhagen,5.8,1.1
Copenhagen,3.6,-1.4
Copenhagen,-0.2,-2.1
Copenhagen,-1.3,-2.7
Copenhagen,-0.4,-2.8
Copenhagen,2.1,-1.4
Copenhagen,1.3,-2.0
Copenhagen,-2.1,-5.8
Copenhagen,1.9,-3.5
Copenhagen,2.8,-0.1
Copenhagen,4.6,1.2
Copenhagen,3.9,-0.0
Copenhagen,3.7,0.9
Copenhagen,0.5,-1.4
Copenhagen,-1.4,-2.7
Copenhagen,-2.1,-3.0
Copenhagen,1.6,-2.3
Copenhagen,3.0,0.5
Copenhagen,3.0,-1.1
Copenhagen,4.6,1.9
Copenhagen,4.2,1.2
Copenhagen,3.7,0.6
Copenhagen,3.6,1.6
Copenhagen,3.3,1.0
Copenhagen,4.0,2.6
Copenhagen,3.2,-0.2
Copenhagen,5.4,-0.3
Copenhagen,2.4,-1.0
Copenhagen,1.9,-3.9
Copenhagen,-2.1,-4.2
Copenhagen,-1.7,-4.1
Copenhagen,-3.3,-6.0
Copenhagen,0.7,-4.6
Copenhagen,0.5,-1.3
Copenhagen,-0.9,-2.3
Copenhagen,-0.6,-2.0
Copenhagen,0.1,-1.6
Copenhagen,-0.7,-2.5
Copenhagen,-1.7,-6.7
Copenhagen,-4.4,-6.9
Copenhagen,-4.0,-5.2
Copenhagen,-3.4,-5.6
Copenhagen,-3.1,-4.0
Copenhagen,-2.3,-3.6
Copenhagen,-1.9,-6.5
Copenhagen,-3.2,-6.3
Copenhagen,-2.0,-3.9
Copenhagen,-0.6,-5.0
Copenhagen,-2.9,-7.4
Copenhagen,-4.0,-7.6
Copenhagen,-6.5,-10.4
Copenhagen,-4.9,-9.8
Copenhagen,-2.4,-7.2
Copenhagen,-1.6,-5.6
Copenhagen,-0.5,-3.0
Copenhagen,1.9,-0.1
Copenhagen,1.1,-2.0
Copenhagen,-0.1,-3.1
Copenhagen,0.3,-2.0
Copenhagen,0.5,-3.6
Copenhagen,-2.1,-4.5
Copenhagen,-2.5,-5.3
Copenhagen,-2.2,-4.5
Copenhagen,-3.8,-8.3
Copenhagen,-5.4,-9.1
Copenhagen,-4.8,-9.0
Copenhagen,-3.8,-5.7
Copenhagen,-2.4,-6.5
Copenhagen,-2.1,-6.8
Copenhagen,-5.1,-9.5
Copenhagen,-6.0,-10.7
Copenhagen,-8.2,-11.1
Copenhagen,-10.1,-12.4
Copenhagen,-10.0,-12.5
Copenhagen,-9.2,-11.6
Copenhagen,-9.9,-12.0
Copenhagen,-8.4,-11.8
Copenhagen,-9.6,-12.8
Copenhagen,-7.6,-13.5
Copenhagen,-4.0,-10.2
Copenhagen,-3.1,-9.0
Copenhagen,-5.7,-7.4
Copenhagen,-2.8,-6.4
Copenhagen,-1.0,-4.7
Copenhagen,-3.2,-5.0
Copenhagen,2.7,-3.7
Copenhagen,-0.5,-3.1
Copenhagen,1.3,-2.7
Copenhagen,3.2,-2.5
Copenhagen,7.8,1.3
Copenhagen,7.6,2.1
Copenhagen,7.8,-0.8
Copenhagen,2.3,-2.2
Copenhagen,4.5,-3.2
Copenhagen,3.8,-2.5
Copenhagen,4.9,-2.4
Copenhagen,2.4,-2.0
Copenhagen,1.5,-3.4
Copenhagen,-0.6,-4.8
Copenhagen,-1.1,-6.2
Copenhagen,-1.0,-6.4
Copenhagen,0.3,-4.8
Copenhagen,-0.6,-6.3
Copenhagen,-1.7,-8.5
Copenhagen,-1.5,-6.1
Copenhagen,0.7,-6.8
Copenhagen,0.1,-2.6
Copenhagen,-0.6,-5.3
Copenhagen,2.3,-3.4
Copenhagen,3.4,-3.1
Copenhagen,2.9,-3.8
Copenhagen,3.6,-4.5
Copenhagen,1.0,-4.2
Copenhagen,-2.6,-6.9
Copenhagen,0.6,-6.0
Copenhagen,0.8,-3.2
Copenhagen,3.0,-3.5
Copenhagen,3.5,-0.4
Copenhagen,5.4,0.1
Copenhagen,6.3,0.7
Copenhagen,5.7,1.3
Copenhagen,3.6,-1.6
Copenhagen,2.6,-2.2
Copenhagen,7.0,2.6
Copenhagen,13.4,3.3
Copenhagen,11.8,1.1
Copenhagen,6.5,-1.5
Copenhagen,3.9,-2.5
Copenhagen,1.4,-2.9
Copenhagen,3.3,-3.0
Copenhagen,-1.2,-6.2
Copenhagen,0.0,-4.8
Copenhagen,3.4,-4.0
Copenhagen,-0.4,-2.9
Copenhagen,2.3,-2.9
Copenhagen,2.8,-4.2
Copenhagen,3.9,-4.1
Copenhagen,1.4,-2.8
Copenhagen,3.0,-2.9
Copenhagen,4.1,-3.6
Copenhagen,4.8,-2.0
Copenhagen,5.6,-2.6
Copenhagen,11.0,0.1
Copenhagen,11.8,0.5
Copenhagen,13.5,1.3
Copenhagen,12.7,0.4
Copenhagen,4.0,-0.9
Copenhagen,1.6,-0.8
Copenhagen,3.6,-0.1
Copenhagen,2.4,-1.9
Copenhagen,1.1,-1.8
Copenhagen,4.9,-2.2
Copenhagen,7.0,-2.8
Copenhagen,6.4,-2.1
Copenhagen,6.4,0.4
Copenhagen,9.1,0.8
Copenhagen,6.1,1.1
Copenhagen,7.4,0.1
Copenhagen,5.4,0.8
Copenhagen,4.1,0.3
Copenhagen,4.1,-1.3
Copenhagen,4.5,-0.9
Copenhagen,6.0,-0.3
Copenhagen,5.9,0.6
Copenhagen,11.3,2.0
Copenhagen,14.5,8.3
Copenhagen,11.8,7.4
Copenhagen,16.3,9.8
Copenhagen,12.9,7.3
Copenhagen,16.1,4.1
Copenhagen,9.4,5.2
Copenhagen,12.0,5.2
Copenhagen,11.0,6.7
Copenhagen,11.2,4.2
Copenhagen,10.5,5.3
Copenhagen,7.2,3.8
Copenhagen,10.2,5.4
Copenhagen,9.0,5.7
Copenhagen,7.2,5.1
Copenhagen,12.0,6.2
Copenhagen,10.2,6.4
Copenhagen,8.0,4.8
Copenhagen,12.3,6.9
Copenhagen,12.5,6.2
Copenhagen,16.4,6.3
Copenhagen,16.8,5.8
Copenhagen,20.5,8.1
Copenhagen,16.8,9.8
Copenhagen,16.9,8.7
Copenhagen,16.7,9.5
Copenhagen,18.2,10.1
Copenhagen,20.3,10.0
Copenhagen,21.0,10.4
Copenhagen,20.7,12.5
Copenhagen,19.2,12.1
Copenhagen,20.6,11.5
Copenhagen,21.0,12.0
Copenhagen,21.4,16.1
Copenhagen,15.0,7.5
Copenhagen,15.3,7.5
Copenhagen,19.3,10.6
Copenhagen,15.5,10.2
Copenhagen,16.6,8.1
Copenhagen,22.5,12.1
Copenhagen,25.1,18.2
Copenhagen,28.2,18.7
Copenhagen,24.8,16.3
Copenhagen,16.9,12.8
Copenhagen,18.0,12.6
Copenhagen,19.0,13.4
Copenhagen,19.8,13.0
Copenhagen,18.0,13.0
Copenhagen,20.2,13.4
Copenhagen,21.4,15.5
Copenhagen,22.6,13.4
Copenhagen,24.3,14.5
Copenhagen,20.3,17.1
Copenhagen,18.4,14.1
Copenhagen,23.5,16.5
Copenhagen,24.0,18.0
Copenhagen,21.8,18.1
Copenhagen,23.7,17.0
Copenhagen,20.0,14.3
Copenhagen,20.0,17.0
Copenhagen,21.6,16.4
Copenhagen,22.4,15.6
Copenhagen,18.3,14.3
Copenhagen,22.2,14.3
Copenhagen,23.3,16.9
Copenhagen,25.3,18.0
Copenhagen,30.3,19.4
Copenhagen,29.1,21.3
Copenhagen,32.2,20.4
Copenhagen,26.8,18.1
Copenhagen,18.0,14.2
Copenhagen,20.1,13.2
Copenhagen,17.7,13.9
Copenhagen,21.0,13.6
Copenhagen,19.5,13.0
Copenhagen,22.3,13.8
Copenhagen,23.7,16.1
Copenhagen,23.5,16.8
Copenhagen,26.7,20.1
Copenhagen,24.9,19.1
Copenhagen,21.1,17.4
Copenhagen,16.5,10.9
Copenhagen,17.3,11.7
Copenhagen,17.0,12.1
Copenhagen,16.3,11.5
Copenhagen,16.7,10.4
Copenhagen,16.4,12.2
Copenhagen,18.9,12.0
Copenhagen,21.1,11.3
Copenhagen,19.7,13.7
Copenhagen,18.8,14.2
Copenhagen,18.7,15.0
